x,y,especie,date,precision
17.80955,59.47864,"Abies alba",2025-03-03,50
14.3494,58.03574,"Abies alba",2025-03-07,200
16.572,59.04527,"Abies alba",2025-03-05,25
12.77635,56.70714,"Abies alba",2025-03-09,25
17.6204,59.83422,"Abies alba",2025-03-04,50
13.66432,58.44889,"Abies alba",2025-03-15,10
11.848,58.25058,"Abies alba",2025-03-09,25
11.8418,58.26208,"Abies alba",2025-03-09,25
13.66432,58.44889,"Abies alba",2025-03-15,10
10.678588,59.455596,"Abies alba",2025-03-22,10
10.396284,63.383976,"Abies alba",2025-03-23,10
11.074664,63.858411,"Abies alba",2025-03-22,25
5.183326,50.220543,"Abies alba",2025-03-22,49
6.2,53.05,"Abies alba",2025-03-10,5000
13.053928,47.898775,"Abies alba",2025-03-15,14
13.391578,47.981834,"Abies alba",2025-03-15,60
13.060568,47.908553,"Abies alba",2025-03-15,16
13.05347,47.902458,"Abies alba",2025-03-15,2
13.405572,47.98171,"Abies alba",2025-03-15,50
13.055858,47.897831,"Abies alba",2025-03-15,34
13.118011,47.915475,"Abies alba",2025-03-16,6
13.060545,47.908572,"Abies alba",2025-03-15,13
13.113888,47.943972,"Abies alba",2025-03-16,54
13.109607,47.929762,"Abies alba",2025-03-16,31
13.109622,47.93408,"Abies alba",2025-03-16,5
13.1055,47.943498,"Abies alba",2025-03-16,5
13.51223,48.189154,"Abies alba",2025-03-19,32
13.116886,47.914572,"Abies alba",2025-03-16,54
4.95,51.45,"Abies alba",2025-03-18,5000
13.400121,47.981742,"Abies alba",2025-03-15,50
13.113446,47.94344,"Abies alba",2025-03-16,19
13.118198,47.918702,"Abies alba",2025-03-16,71
13.170636,47.638046,"Abies alba",2025-03-18,3
9.615443,47.239946,"Abies alba",2025-03-20,64
13.092042,47.85999,"Abies alba",2025-03-22,24
13.239369,47.763219,"Abies alba",2025-03-22,10
13.48284,47.781777,"Abies alba",2025-03-22,30
13.264162,47.810223,"Abies alba",2025-03-23,6
13.287636,47.795444,"Abies alba",2025-03-23,6
